"Security Code","Security Name","Group","LTP","Chg","% Chg"
521097,"AMARJOTHI","X",187.5,31.25,20
530789,"CEEJAY","X",105.9,17.65,20
543235,"ANGELBRKG","B",1274.45,212.4,20
514030,"DEEPAKSP","X",259.65,43.25,19.99
530643,"ECORECO","X",81.35,13.55,19.99
531688,"PRITHVIEXCH","X",27.4,4.55,19.91
541053,"EIS","M",1379,228.8,19.89
532372,"VIRINCHI","X",77.2,12.55,19.5
539518,"UDAYJEW","X",145.35,22.25,18.37
532782,"SUTLEJTEX","B",77.3,10.55,16.37
531082,"ALANKIT","B",22.6,2.85,15.12
514036,"LOYALTEX","X",859.7,106.05,14.69
532528,"DATAMATICS","B",261.2,31.65,14.45
531297,"ARTEFACT","X",43.95,5.45,14.42
532764,"GEECEE","B",188.6,22.1,13.53
504000,"ELPROINTL","X",68.8,7.65,13.34
532175,"CYIENT","A",1091.4,114.25,12.06
533284,"RPPINFRA","B",93.2,9.3,11.97
532809,"FSL","A",235.9,24.4,11.89
542865,"ANUROOP","M",11.5,1.15,11.5
540725,"SHAREINDIA","B",548,53.45,11
540192,"LKPSEC","X",15.74,1.51,10.99
533982,"TERASOFT","B",84.9,7.75,10.88
500078,"OAL","B",1017.9,90.7,10.38
532892,"MOTILALOFS","A",1179,105.25,10.31
503349,"VICTMILL","X",3355.2,305,10
507779,"KANPRPLA","B",280,25.45,10
511034,"JINDRILL","B",135.9,12.35,10
532989,"BAFNAPHARM","B",164.45,14.95,10
542845,"NIEHSPJ","B",8.7,0.79,9.99
506852,"PACL","X",90.45,8.2,9.97
531273,"RADHEDE","X",12.58,1.14,9.97
539252,"SCFL","B",15.44,1.4,9.97
503101,"MARATHON","B",87.2,7.9,9.96
522029,"WINDMACHIN","B",35.4,3.2,9.94
542804,"NIESSPJ","B",46.5,4.2,9.93
543186,"11DPD","B",5.98,0.54,9.93
543176,"11MPR","B",4.55,0.41,9.9
543173,"11DPR","B",5,0.45,9.89
532698,"NITINSPIN","B",183.8,16.15,9.83
530825,"DAIKAFFI","X",38.75,3.45,9.79
522152,"SOLIMAC","X",45.5,4.05,9.78
